ID;Название;Приоритет;Предусловия;Шаги;Ожидаемый результат;Статус автоматизации;Причина отсутствия покрытия;;;;
1;Успешная авторизация пользователя с валидными даными ;Высокий;"1. Пользователь зарегестрирован. 
2. Данные для входа: логин 'login2', пароль 'password2'.";1. Открыть приложение 'мобильный-хоспис' ;Приложение запущено, отображается экран авторизации;;;;;;
;;;;2. Ввести в поле 'Login' значение 'login2';Значение 'login2' отображается в поле;;;;;;
;;;;3. Ввести в поле 'Password' значение 'password2';Пароль отображается в виде точек (скрыт);;;;;;
;;;;4. Нажать кнопку 'SIGN IN' ;Произошел переход на главный экран, отображается лента новостей;;;;;;
2;Валидация поля 'Login'. Авторизация с несуществующим логином;Высокий;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.
";1. Ввести в поле 'Login' значение на латинице (test);Значение 'test' отображается в поле;;;;;;
;;;;2. Ввести в поле 'Password' значение 'password2';Пароль отображается в виде точек (скрыт);;;;;;
;;;;3. Нажать кнопку 'SIGN IN' ;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке:  'Something went wrong. Try again later.';;;;;;
3;Валидация поля 'Login'. Ввод значения на кириллице;Средний;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.
";1. Ввести в поле 'Login' значение на кириллице (тест);Значение 'тест' отображается в поле;;;;;;
;;;;2. Ввести в поле 'Password' значение 'password2';Пароль отображается в виде точек (скрыт);;;;;;
;;;;3. Нажать кнопку 'SIGN IN' ;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке:  'Something went wrong. Try again later.';;;;;;
4;Валидация поля 'Login'. Ввод спецсимволов;Средний;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.
";1. Ввести в поле 'Login' значение из спецсимволов (&%$@#);Значение '&%$@#' отображается в поле;;;;;;
;;;;2. Ввести в поле 'Password' значение 'password2';Пароль отображается в виде точек (скрыт);;;;;;
;;;;3. Нажать кнопку 'SIGN IN' ;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке:  'Something went wrong. Try again later.';;;;;;
5;Валидация поля 'Login'. Ввод пробелов;Средний;"1. Пользователь зарегестрирован.
2. Приложение открыто на экране авторизации.
";1. Ввести в поле 'Login' пробелы (    );В поле введены символы пробела (курсор смещен вправо);;;;;;
;;;;2. Ввести в поле 'Password' значение 'password2';Пароль отображается в виде точек (скрыт);;;;;;
;;;;3. Нажать кнопку 'SIGN IN' ;Авторизация не выполнена, пользователь остается на текущем экране, отображается сообщение об ошибке: 'Login and password cannot be empty.';;;;;;
